,Колледж рационального обучения,Академия экономики и управления,Академия права и государственной службы,Академия гуманитарных технологий
0,"К1Э1(9),К1Э2(9)",ЭМЗ-301,ЮМЗУ-101,ПМЗК-101
1,К1Т1(9),ТС321,ЮМЗУ-102,ПМЗК-102
2,К1Т2(9),ЭЗ501,ЮМЗГМУ-101,ПМЗК-103
3,"К1Л1(9),К1Л2(9)",ИМ-201,ЮМЗГМУ-102,ПМЗК-104
4,К1Л3(9),МД101,ЮМЗУ-301,ПМЗК-301
5,К1Л4(9),МД201,ЮМЗГМУ-301,УПЗу201
6,К1И1(9),МД301,ЮД101,УПЗу401
7,К1И2(9),МДК103,ЮД201,УПС420
8,К1Ю1(9),МДК203,ЮД301,ПД201
9,К1Ю2(9),ЭД101,"ЮДК103,ЮДК104",ПД301
10,К1Ю3(9),ЭД201,ЮД401,ПД401
11,К1Ю4(9),ЭД301,ЮДК203,"ПЗу201,ПЗу202"
12,К1Э1(11),ЭДК103,ЮЗ501,ПЗу401
13,К2Э2(9),ЭД401,,
14,К2Э1(9),ЭДК203,,
15,"К1Л1(11),К2Л3(9)",ИД301,,
16,"К2Л1(9),К2Л2(9)",ИДК103,,
17,"К1И1(11),К2И4(9)",ТД401,,
18,К2И1(9),МЗ501,,
19,К2И2(9),ЭМ-101,,
20,К2И3(9),ЭC321,,
21,"К1Т1(11),К2Т3(9)",,,
22,К2Т1(9),,,
23,К2Т2(9),,,
24,К1Ю1(11),,,
25,К2Ю1(9),,,
26,К2Ю2(9),,,
27,К2Ю3(9),,,
28,К2Ю4(9),,,
29,К2Э1(11),,,
30,К3Э1(9),,,
31,К2Л1(11),,,
32,К3Л1(9),,,
33,К3Л2(9),,,
34,К2И1(11),,,
35,К3И1(9),,,
36,К3И2(9),,,
37,К2Ю1(11),,,
38,К3Ю1(9),,,
39,К3Ю2(9),,,
40,К3Ю3(9),,,
41,К3Ю4(9),,,
42,К3И1(11),,,
43,К4И1(9),,,
